city,city_key,date,timestamp,lat,lon,current_speed,free_flow_speed,confidence,congestion_level,traffic_index
Berlin,berlin,2024-01-01,2026-01-12 15:52:08.254943,52.52,13.405,15,21,1.0,0.2857142857142857,28.57142857142857
Munich,munich,2024-01-01,2026-01-12 15:52:08.919963,48.1351,11.582,20,32,1.0,0.375,37.5
Hamburg,hamburg,2024-01-01,2026-01-12 15:52:09.587039,53.5511,10.0,26,42,1.0,0.38095238095238093,38.095238095238095
Cologne,cologne,2024-01-01,2026-01-12 15:52:10.294711,50.9375,6.9603,32,36,1.0,0.11111111111111116,11.111111111111116
Frankfurt am Main,frankfurt,2024-01-01,2026-01-12 15:52:10.975387,50.1109,8.6821,21,27,1.0,0.2222222222222222,22.22222222222222
Stuttgart,stuttgart,2024-01-01,2026-01-12 15:52:11.620595,48.7758,9.1829,26,34,1.0,0.23529411764705888,23.529411764705888
Düsseldorf,dusseldorf,2024-01-01,2026-01-12 15:52:12.300660,51.2277,6.7735,49,49,1.0,0.0,0.0
Dortmund,dortmund,2024-01-01,2026-01-12 15:52:13.038520,51.5136,7.4653,16,28,1.0,0.4285714285714286,42.85714285714286
Essen,essen,2024-01-01,2026-01-12 15:52:13.732759,51.4556,7.0116,24,34,0.941663,0.2941176470588235,29.411764705882348
Leipzig,leipzig,2024-01-01,2026-01-12 15:52:14.383460,51.3397,12.3731,23,31,1.0,0.25806451612903225,25.806451612903224
Bremen,bremen,2024-01-01,2026-01-12 15:52:15.042404,53.0793,8.8017,18,22,1.0,0.18181818181818177,18.181818181818176
Dresden,dresden,2024-01-01,2026-01-12 15:52:15.680054,51.0504,13.7373,14,22,0.99,0.36363636363636365,36.36363636363637
Hanover,hanover,2024-01-01,2026-01-12 15:52:16.327630,52.3759,9.732,24,24,1.0,0.0,0.0
Nuremberg,nuremberg,2024-01-01,2026-01-12 15:52:16.970156,49.4521,11.0767,19,30,1.0,0.3666666666666667,36.66666666666667
Duisburg,duisburg,2024-01-01,2026-01-12 15:52:17.721184,51.4344,6.7623,25,34,1.0,0.2647058823529411,26.470588235294112
Bochum,bochum,2024-01-01,2026-01-12 15:52:18.530226,51.4818,7.2162,13,20,1.0,0.35,35.0
Wuppertal,wuppertal,2024-01-01,2026-01-12 15:52:19.215975,51.2562,7.1508,30,41,1.0,0.2682926829268293,26.82926829268293
Bielefeld,bielefeld,2024-01-01,2026-01-12 15:52:19.859063,52.02,8.5325,24,24,1.0,0.0,0.0
Bonn,bonn,2024-01-01,2026-01-12 15:52:20.503161,50.7374,7.0982,18,25,0.994812,0.28,28.000000000000004
Münster,munster,2024-01-01,2026-01-12 15:52:21.194608,51.9607,7.6261,24,31,1.0,0.22580645161290325,22.580645161290324
Karlsruhe,karlsruhe,2024-01-01,2026-01-12 15:52:21.878173,49.0069,8.4037,20,20,1.0,0.0,0.0
Mannheim,mannheim,2024-01-01,2026-01-12 15:52:22.567668,49.4875,8.466,16,26,0.997283,0.3846153846153846,38.46153846153846
Augsburg,augsburg,2024-01-01,2026-01-12 15:52:23.215174,48.3668,10.8987,23,33,0.999096,0.303030303030303,30.303030303030297
Wiesbaden,wiesbaden,2024-01-01,2026-01-12 15:52:23.847977,50.0782,8.2398,15,24,1.0,0.375,37.5
