city,city_key,datetime,date,hour,station_name,station_id,no2,pm10,o3
Berlin,berlin,2024-01-01 00:00:00,2024-01-01,0,Berlin Buch,158,27.0,20.0,21.0
Berlin,berlin,2024-01-01 00:00:00,2024-01-01,0,Berlin Grunewald (3.5 m),143,9.0,11.0,29.0
Berlin,berlin,2024-01-01 00:00:00,2024-01-01,0,Berlin Marienfelde,138,4.0,,48.0
Berlin,berlin,2024-01-01 00:00:00,2024-01-01,0,Berlin Neukölln,145,43.0,26.0,7.0
Berlin,berlin,2024-01-01 00:00:00,2024-01-01,0,Berlin Wedding,121,42.0,26.0,11.0
Berlin,berlin,2024-01-01 01:00:00,2024-01-01,1,Berlin Buch,158,44.0,28.0,2.0
Berlin,berlin,2024-01-01 01:00:00,2024-01-01,1,Berlin Grunewald (3.5 m),143,19.0,14.0,19.0
Berlin,berlin,2024-01-01 01:00:00,2024-01-01,1,Berlin Marienfelde,138,5.0,,47.0
Berlin,berlin,2024-01-01 01:00:00,2024-01-01,1,Berlin Neukölln,145,31.0,29.0,22.0
Berlin,berlin,2024-01-01 01:00:00,2024-01-01,1,Berlin Wedding,121,42.0,33.0,8.0
Berlin,berlin,2024-01-01 02:00:00,2024-01-01,2,Berlin Buch,158,39.0,34.0,6.0
Berlin,berlin,2024-01-01 02:00:00,2024-01-01,2,Berlin Grunewald (3.5 m),143,16.0,16.0,23.0
Berlin,berlin,2024-01-01 02:00:00,2024-01-01,2,Berlin Marienfelde,138,6.0,,47.0
Berlin,berlin,2024-01-01 02:00:00,2024-01-01,2,Berlin Neukölln,145,22.0,31.0,33.0
Berlin,berlin,2024-01-01 02:00:00,2024-01-01,2,Berlin Wedding,121,30.0,36.0,22.0
Berlin,berlin,2024-01-01 03:00:00,2024-01-01,3,Berlin Buch,158,24.0,37.0,24.0
Berlin,berlin,2024-01-01 03:00:00,2024-01-01,3,Berlin Grunewald (3.5 m),143,15.0,18.0,20.0
Berlin,berlin,2024-01-01 03:00:00,2024-01-01,3,Berlin Marienfelde,138,4.0,,50.0
Berlin,berlin,2024-01-01 03:00:00,2024-01-01,3,Berlin Neukölln,145,20.0,31.0,37.0
Berlin,berlin,2024-01-01 03:00:00,2024-01-01,3,Berlin Wedding,121,23.0,37.0,31.0
Berlin,berlin,2024-01-01 04:00:00,2024-01-01,4,Berlin Buch,158,14.0,38.0,34.0
Berlin,berlin,2024-01-01 04:00:00,2024-01-01,4,Berlin Grunewald (3.5 m),143,13.0,18.0,21.0
Berlin,berlin,2024-01-01 04:00:00,2024-01-01,4,Berlin Marienfelde,138,4.0,,52.0
Berlin,berlin,2024-01-01 04:00:00,2024-01-01,4,Berlin Neukölln,145,20.0,32.0,37.0
Berlin,berlin,2024-01-01 04:00:00,2024-01-01,4,Berlin Wedding,121,19.0,37.0,37.0
Berlin,berlin,2024-01-01 05:00:00,2024-01-01,5,Berlin Buch,158,11.0,39.0,37.0
Berlin,berlin,2024-01-01 05:00:00,2024-01-01,5,Berlin Grunewald (3.5 m),143,12.0,19.0,12.0
Berlin,berlin,2024-01-01 05:00:00,2024-01-01,5,Berlin Marienfelde,138,4.0,,50.0
Berlin,berlin,2024-01-01 05:00:00,2024-01-01,5,Berlin Neukölln,145,15.0,33.0,42.0
Berlin,berlin,2024-01-01 05:00:00,2024-01-01,5,Berlin Wedding,121,19.0,38.0,38.0
Berlin,berlin,2024-01-01 06:00:00,2024-01-01,6,Berlin Buch,158,13.0,40.0,34.0
Berlin,berlin,2024-01-01 06:00:00,2024-01-01,6,Berlin Grunewald (3.5 m),143,10.0,19.0,21.0
Berlin,berlin,2024-01-01 06:00:00,2024-01-01,6,Berlin Marienfelde,138,3.0,,53.0
Berlin,berlin,2024-01-01 06:00:00,2024-01-01,6,Berlin Neukölln,145,11.0,33.0,46.0
Berlin,berlin,2024-01-01 06:00:00,2024-01-01,6,Berlin Wedding,121,15.0,39.0,43.0
Berlin,berlin,2024-01-01 07:00:00,2024-01-01,7,Berlin Buch,158,10.0,40.0,36.0
Berlin,berlin,2024-01-01 07:00:00,2024-01-01,7,Berlin Grunewald (3.5 m),143,8.0,20.0,26.0
Berlin,berlin,2024-01-01 07:00:00,2024-01-01,7,Berlin Marienfelde,138,3.0,,52.0
Berlin,berlin,2024-01-01 07:00:00,2024-01-01,7,Berlin Neukölln,145,12.0,33.0,43.0
Berlin,berlin,2024-01-01 07:00:00,2024-01-01,7,Berlin Wedding,121,12.0,39.0,46.0
Berlin,berlin,2024-01-01 08:00:00,2024-01-01,8,Berlin Buch,158,10.0,40.0,35.0
Berlin,berlin,2024-01-01 08:00:00,2024-01-01,8,Berlin Grunewald (3.5 m),143,6.0,20.0,30.0
Berlin,berlin,2024-01-01 08:00:00,2024-01-01,8,Berlin Marienfelde,138,3.0,,50.0
Berlin,berlin,2024-01-01 08:00:00,2024-01-01,8,Berlin Neukölln,145,13.0,34.0,41.0
Berlin,berlin,2024-01-01 08:00:00,2024-01-01,8,Berlin Wedding,121,12.0,39.0,46.0
Berlin,berlin,2024-01-01 09:00:00,2024-01-01,9,Berlin Buch,158,11.0,40.0,33.0
Berlin,berlin,2024-01-01 09:00:00,2024-01-01,9,Berlin Grunewald (3.5 m),143,5.0,20.0,41.0
Berlin,berlin,2024-01-01 09:00:00,2024-01-01,9,Berlin Marienfelde,138,2.0,,50.0
Berlin,berlin,2024-01-01 09:00:00,2024-01-01,9,Berlin Neukölln,145,12.0,34.0,42.0
Berlin,berlin,2024-01-01 09:00:00,2024-01-01,9,Berlin Wedding,121,10.0,39.0,48.0
Berlin,berlin,2024-01-01 10:00:00,2024-01-01,10,Berlin Buch,158,7.0,40.0,46.0
Berlin,berlin,2024-01-01 10:00:00,2024-01-01,10,Berlin Grunewald (3.5 m),143,3.0,20.0,51.0
Berlin,berlin,2024-01-01 10:00:00,2024-01-01,10,Berlin Marienfelde,138,2.0,,53.0
Berlin,berlin,2024-01-01 10:00:00,2024-01-01,10,Berlin Neukölln,145,7.0,34.0,49.0
Berlin,berlin,2024-01-01 10:00:00,2024-01-01,10,Berlin Wedding,121,9.0,39.0,50.0
Berlin,berlin,2024-01-01 11:00:00,2024-01-01,11,Berlin Buch,158,6.0,40.0,47.0
Berlin,berlin,2024-01-01 11:00:00,2024-01-01,11,Berlin Grunewald (3.5 m),143,2.0,20.0,52.0
Berlin,berlin,2024-01-01 11:00:00,2024-01-01,11,Berlin Marienfelde,138,2.0,,53.0
Berlin,berlin,2024-01-01 11:00:00,2024-01-01,11,Berlin Neukölln,145,8.0,34.0,49.0
Berlin,berlin,2024-01-01 11:00:00,2024-01-01,11,Berlin Wedding,121,10.0,39.0,50.0
Berlin,berlin,2024-01-01 12:00:00,2024-01-01,12,Berlin Buch,158,8.0,40.0,44.0
Berlin,berlin,2024-01-01 12:00:00,2024-01-01,12,Berlin Grunewald (3.5 m),143,3.0,20.0,52.0
Berlin,berlin,2024-01-01 12:00:00,2024-01-01,12,Berlin Marienfelde,138,2.0,,54.0
Berlin,berlin,2024-01-01 12:00:00,2024-01-01,12,Berlin Neukölln,145,8.0,34.0,50.0
Berlin,berlin,2024-01-01 12:00:00,2024-01-01,12,Berlin Wedding,121,11.0,39.0,49.0
Berlin,berlin,2024-01-01 13:00:00,2024-01-01,13,Berlin Buch,158,9.0,41.0,41.0
